"species","bin","component","model_number","formula","weight"
"Pacific halibut","juvenile","tweedie",2,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.0131632417185233
"Pacific halibut","juvenile","tweedie",3,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",0.550715988959292
"Pacific halibut","juvenile","tweedie",4,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X, Y, k = 20) +      s(X, Y, by = cold_pool_2C, k = 20)",0.212353124943604
"arrowtooth flounder","adult","binomial",1,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.0122281251947501
"arrowtooth flounder","adult","binomial",2,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.0379435150159373
"arrowtooth flounder","adult","binomial",3,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",0.062451112647281
"arrowtooth flounder","adult","binomial",4,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X, Y, k = 20) +      s(X, Y, by = cold_pool_2C, k = 20)",0.887377247142032
"arrowtooth flounder","adult","tweedie",1,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.0163473574461482
"arrowtooth flounder","adult","tweedie",2,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.139490107767838
"arrowtooth flounder","adult","tweedie",3,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",0.200495445903969
"arrowtooth flounder","adult","tweedie",4,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X, Y, k = 20) +      s(X, Y, by = cold_pool_2C, k = 20)",0.643667088882045
"arrowtooth flounder","juvenile","binomial",1,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.00532206566895698
"arrowtooth flounder","juvenile","binomial",2,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.0262357570491965
"arrowtooth flounder","juvenile","binomial",3,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",0.116679495718229
"arrowtooth flounder","juvenile","binomial",4,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X, Y, k = 20) +      s(X, Y, by = cold_pool_2C, k = 20)",0.851762681563617
"arrowtooth flounder","juvenile","tweedie",1,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.0694995771998252
"arrowtooth flounder","juvenile","tweedie",2,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.163243876029046
"arrowtooth flounder","juvenile","tweedie",3,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",0.636183473065186
"arrowtooth flounder","juvenile","tweedie",4,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X, Y, k = 20) +      s(X, Y, by = cold_pool_2C, k = 20)",0.131073073705943
"northern rock sole","adult","binomial",1,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.0851207670330163
"northern rock sole","adult","binomial",2,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.045451770223759
"northern rock sole","adult","binomial",3,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",0.811696419600513
"northern rock sole","adult","binomial",4,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X, Y, k = 20) +      s(X, Y, by = cold_pool_2C, k = 20)",0.0577310431427114
"northern rock sole","adult","tweedie",1,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.209746931725381
"northern rock sole","adult","tweedie",2,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.0822344271637701
"northern rock sole","adult","tweedie",3,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",0.320198160569313
"northern rock sole","adult","tweedie",4,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X, Y, k = 20) +      s(X, Y, by = cold_pool_2C, k = 20)",0.387820480541535
"northern rock sole","juvenile","binomial",1,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",4.97685898779896e-06
"northern rock sole","juvenile","binomial",2,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.189575114662872
"northern rock sole","juvenile","binomial",3,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",0.188801259702486
"northern rock sole","juvenile","binomial",4,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X, Y, k = 20) +      s(X, Y, by = cold_pool_2C, k = 20)",0.621618648775654
"northern rock sole","juvenile","tweedie",1,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.0261131740387467
"northern rock sole","juvenile","tweedie",2,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.103191334956399
"northern rock sole","juvenile","tweedie",3,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",0.0255233047211028
"northern rock sole","juvenile","tweedie",4,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X, Y, k = 20) +      s(X, Y, by = cold_pool_2C, k = 20)",0.845172186283752
"red king crab","all","binomial",1,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.166686331240362
"red king crab","all","binomial",2,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.00306675474514404
"red king crab","all","binomial",3,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",0.414576922583487
