"LATITUDE","LONGITUDE","STATION","STRATUM","YEAR","DATETIME","BOT_DEPTH","BOT_TEMP","SURF_TEMP","VESSEL","CRUISE","HAUL","AREA_SWEPT_HA","DURATION_HR","DISTANCE_FISHED_KM"
56.345,-170.067,"E-21",50,1982,"08-JUL-1982 07:00PM",110,4,6.3,19,106,4323,4.7019,0.5,2.815
56.34417,-170.6825,"E-22",61,1982,"08-JUL-1982 08:00PM",124,3.9,6.1,1,80,989,4.7829,0.5,2.797
56.68167,-167.66483,"F-01",31,1982,"01-JUL-1982 11:00AM",99,3.2,7,19,106,4287,4.5082,0.5,2.759
56.66333,-167.07667,"F-02",31,1982,"29-JUN-1982 06:00PM",99,2.5,6.6,1,80,945,4.6113,0.5,2.722
56.6455,-166.43,"F-03",31,1982,"27-JUN-1982 08:00AM",80,2.6,6.5,19,106,4266,4.8213,0.5,3.019
56.67333,-165.825,"F-04",31,1982,"17-JUN-1982 05:00PM",80,2,7.7,1,80,917,4.7292,0.5,2.797
56.6815,-165.196,"F-05",31,1982,"20-JUN-1982 03:00PM",75,0.9,5.8,19,106,4255,4.5656,0.5,2.778
56.66,-164.61167,"F-06",31,1982,"13-JUN-1982 05:00PM",79,0.3,6.1,1,80,899,4.4534,0.5,2.63
56.665,-164,"F-07",31,1982,"17-JUN-1982 04:00PM",75,1.3,7.2,19,106,4237,5.509,0.5,3.352
56.68167,-163.38,"F-08",31,1982,"11-JUN-1982 03:00PM",77,0.3,5.6,1,80,889,4.5835,0.5,2.741
56.68867,-162.786,"F-09",31,1982,"16-JUN-1982 08:00AM",71,0.7,6,19,106,4228,4.7918,0.5,2.982
56.65333,-162.18667,"F-10",31,1982,"08-JUN-1982 01:00PM",75,0.2,4.3,1,80,876,4.5835,0.5,2.741
56.65617,-161.58117,"F-11",31,1982,"13-JUN-1982 07:00PM",88,2.2,6.3,19,106,4215,4.5656,0.5,2.778
56.67833,-160.99167,"F-12",31,1982,"07-JUN-1982 03:00PM",70,0.8,4.2,1,80,872,4.6454,0.5,2.778
56.67067,-160.34967,"F-13",31,1982,"01-JUN-1982 08:00AM",59,0.4,0.7,19,106,4208,3.591,0.5,2.185
56.685,-159.76,"F-14",10,1982,"29-MAY-1982 08:00PM",40,0.7,2.8,1,80,860,4.7495,0.5,2.889
56.66,-168.31667,"F-18",50,1982,"01-JUL-1982 09:00AM",110,2.7,6.4,1,80,953,4.2132,0.5,2.463
56.6515,-168.8945,"F-19",32,1982,"02-JUL-1982 11:00AM",99,3.2,6,19,106,4292,4.8255,0.5,2.889
56.66033,-169.5015,"F-20",32,1982,"02-JUL-1982 09:00AM",80,4.6,5.1,1,80,958,4.6512,0.5,2.778
56.67217,-170.13367,"F-21",42,1982,"08-JUL-1982 04:00PM",95,4,6.6,19,106,4322,4.14,0.5,2.519
56.67983,-170.73967,"F-22",61,1982,"08-JUL-1982 05:00PM",117,3.9,6.4,1,80,988,4.5544,0.5,2.667
